,Date,Price,Open,High,Low,Vol.,Change %
0,"Jan 31, 2020","1,018.08","1,028.78","1,030.82","1,018.08",1.27M,-0.65%
1,"Jan 30, 2020","1,024.76","1,019.45","1,026.60","1,018.64",1.08M,-0.18%
2,"Jan 29, 2020","1,026.58","1,024.56","1,028.98","1,015.59",1.41M,0.95%
3,"Jan 28, 2020","1,016.90","1,020.87","1,032.81","1,012.31",1.55M,-0.74%
4,"Jan 27, 2020","1,024.53","1,041.33","1,042.98","1,019.61",1.96B,-3.33%
5,"Jan 24, 2020","1,059.82","1,064.02","1,064.79","1,057.64",1.13B,-0.28%
6,"Jan 23, 2020","1,062.84","1,060.05","1,066.01","1,056.94",1.40B,-0.05%
7,"Jan 22, 2020","1,063.33","1,066.02","1,066.97","1,056.99",1.83B,0.10%
8,"Jan 21, 2020","1,062.26","1,066.66","1,070.09","1,060.49",1.76B,-0.89%
9,"Jan 20, 2020","1,071.80","1,077.28","1,078.48","1,069.72",1.46B,-0.87%
10,"Jan 17, 2020","1,081.22","1,081.83","1,084.23","1,078.16",1.36B,0.22%
11,"Jan 16, 2020","1,078.87","1,068.58","1,080.94","1,067.44",1.34B,1.05%
12,"Jan 15, 2020","1,067.66","1,069.78","1,073.38","1,063.70",1.27B,-0.59%
13,"Jan 14, 2020","1,074.04","1,076.57","1,078.39","1,067.77",1.28B,-0.02%
14,"Jan 13, 2020","1,074.25","1,075.44","1,077.54","1,068.69",1.14B,0.30%
15,"Jan 10, 2020","1,071.03","1,073.46","1,074.07","1,065.68",1.23B,-0.01%
16,"Jan 09, 2020","1,071.15","1,066.38","1,073.19","1,061.88",1.78B,1.32%
17,"Jan 08, 2020","1,057.19","1,063.94","1,066.77","1,054.24",1.97B,-1.66%
18,"Jan 07, 2020","1,075.07","1,071.20","1,075.20","1,062.78",1.58B,1.06%
19,"Jan 06, 2020","1,063.83","1,072.49","1,074.50","1,061.17",2.03B,-1.45%
20,"Jan 03, 2020","1,079.50","1,081.12","1,086.71","1,077.32",1.48B,-0.14%
21,"Jan 02, 2020","1,081.00","1,072.36","1,083.41","1,071.16",1.75B,1.17%
22,"Dec 30, 2019","1,068.50","1,071.21","1,072.95","1,066.34",778.80M,-0.02%
23,"Dec 27, 2019","1,068.72","1,074.67","1,077.51","1,059.21",1.03B,-0.19%
24,"Dec 26, 2019","1,070.74","1,068.57","1,071.84","1,066.53",752.04M,0.26%
25,"Dec 25, 2019","1,067.99","1,062.79","1,069.60","1,061.32",591.91M,0.26%
26,"Dec 24, 2019","1,065.23","1,070.38","1,071.83","1,063.74",1.27B,-0.40%
27,"Dec 23, 2019","1,069.53","1,069.11","1,075.29","1,067.13",1.42B,0.18%
28,"Dec 20, 2019","1,067.62","1,067.24","1,070.42","1,061.71",1.75B,-0.07%
29,"Dec 19, 2019","1,068.39","1,057.78","1,071.73","1,052.51",2.77B,0.54%
30,"Dec 18, 2019","1,062.62","1,055.62","1,064.39","1,054.99",1.38B,1.22%
31,"Dec 17, 2019","1,049.84","1,049.57","1,054.45","1,043.16",1.43B,0.17%
32,"Dec 16, 2019","1,048.08","1,065.46","1,066.21","1,048.08",969.06M,-1.74%
33,"Dec 13, 2019","1,066.63","1,069.18","1,072.76","1,062.63",1.62B,0.83%
34,"Dec 12, 2019","1,057.87","1,054.20","1,062.31","1,051.95",1.59B,0.86%
35,"Dec 11, 2019","1,048.85","1,049.20","1,052.84","1,043.54",1.56B,0.17%
36,"Dec 09, 2019","1,047.02","1,049.48","1,049.56","1,041.28",1.29B,-0.17%
37,"Dec 06, 2019","1,048.76","1,057.54","1,061.04","1,047.89",1.15B,-0.44%
38,"Dec 04, 2019","1,053.40","1,049.74","1,056.88","1,045.39",1.65B,-0.08%
39,"Dec 03, 2019","1,054.28","1,049.45","1,058.44","1,048.25",1.35B,-0.06%
40,"Dec 02, 2019","1,054.88","1,068.96","1,069.60","1,051.89",1.14B,-1.43%
41,"Nov 29, 2019","1,070.23","1,073.66","1,073.93","1,062.23",1.59B,-0.66%
42,"Nov 28, 2019","1,077.30","1,083.92","1,085.02","1,074.97",1.62B,-0.63%
43,"Nov 27, 2019","1,084.13","1,085.52","1,087.82","1,081.31",2.02B,0.04%
44,"Nov 26, 2019","1,083.70","1,092.29","1,094.05","1,082.99",3.02B,-0.55%
45,"Nov 25, 2019","1,089.67","1,081.87","1,089.67","1,079.97",1.73B,1.13%
46,"Nov 22, 2019","1,077.51","1,075.47","1,079.03","1,071.86",1.36B,0.41%
47,"Nov 21, 2019","1,073.10","1,074.03","1,075.35","1,066.41",1.78B,-0.25%
48,"Nov 20, 2019","1,075.77","1,077.33","1,080.51","1,074.20",1.63B,-0.78%
49,"Nov 19, 2019","1,084.27","1,083.42","1,086.89","1,078.58",1.36B,-0.14%
50,"Nov 18, 2019","1,085.81","1,084.34","1,088.15","1,077.73",1.28B,0.37%
51,"Nov 15, 2019","1,081.78","1,088.21","1,089.77","1,076.17",1.68B,-0.34%
52,"Nov 14, 2019","1,085.44","1,089.47","1,092.62","1,081.89",1.04B,-0.27%
53,"Nov 13, 2019","1,088.37","1,091.90","1,097.07","1,084.58",916.22M,-0.67%
54,"Nov 12, 2019","1,095.68","1,095.28","1,101.81","1,092.64",992.15M,0.27%
55,"Nov 11, 2019","1,092.69","1,098.91","1,100.60","1,089.82",1.53B,-0.98%
56,"Nov 08, 2019","1,103.55","1,105.85","1,107.13","1,100.39",1.36B,-0.24%
57,"Nov 07, 2019","1,106.15","1,092.68","1,106.64","1,089.14",1.43B,1.16%
58,"Nov 06, 2019","1,093.50","1,096.32","1,099.82","1,091.50",1.42B,-0.30%
59,"Nov 05, 2019","1,096.79","1,097.78","1,098.66","1,089.13",1.30B,0.39%
60,"Nov 04, 2019","1,092.58","1,076.72","1,095.29","1,075.76",1.22B,2.23%
61,"Nov 01, 2019","1,068.71","1,072.65","1,075.43","1,065.93",979.38M,-0.42%
62,"Oct 31, 2019","1,073.26","1,079.82","1,081.76","1,072.74",1.38B,-0.25%
63,"Oct 30, 2019","1,075.91","1,069.02","1,075.91","1,064.61",1.45B,0.88%
64,"Oct 29, 2019","1,066.48","1,074.50","1,077.29","1,064.36",1.18B,-0.39%
65,"Oct 28, 2019","1,070.68","1,066.17","1,073.49","1,057.94",1.20B,0.41%
66,"Oct 25, 2019","1,066.34","1,083.17","1,085.02","1,065.08",1.61B,-1.58%
67,"Oct 24, 2019","1,083.43","1,093.33","1,094.66","1,080.29",1.54B,-0.54%
68,"Oct 22, 2019","1,089.35","1,084.66","1,090.19","1,084.06",1.04B,0.74%
